;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
867;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);81;Conde de Casal;0;77;Plaza del Conde de Casal nº 8;1;0;22;5;15;0;Point;[-3.670422, 40.40635];-3.670422;40.40635;POINT (4498014.30681479 -408869.2570486475);4649.322082189964
855;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);67;Ibiza;2;63;Calle Ibiza nº 62;1;0;24;9;13;0;Point;[-3.6708959, 40.4179237];-3.6708959;40.4179237;POINT (4499302.685205384 -408922.1198014586);4661.7953779981135
931;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);145;Orense 12;2;151;Calle Orense nº 12;1;0;24;13;8;0;Point;[-3.6952943, 40.4489101];-3.6952943;40.4489101;POINT (4502752.0754749 -411643.7585185199);4709.06719997772
873;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);87;Niño Jesús;2;82;Calle Doctor Esquerdo nº 161;1;0;24;9;14;0;Point;[-3.6697526, 40.4084556];-3.6697526;40.4084556;POINT (4498248.701134604 -408794.5866454298);4709.145342819697
956;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);170;Juan Bravo 50;0;144;Calle Juan Bravo nº 50;1;0;24;6;18;0;Point;[-3.6758555, 40.4323655];-3.6758555;40.4323655;POINT (4500910.339027523 -409475.3565744966);4730.83820498855
863;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);77;Plaza de los Astros;2;73;Avenida de Nazaret nº 7;1;0;24;11;12;0;Point;[-3.6689089, 40.4114475];-3.6689089;40.4114475;POINT (4498581.757919108 -408700.4734607235);4802.552168790621
862;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);76;Sainz de Baranda;2;72;Calle Doctor Esquerdo nº 99;1;0;24;11;12;0;Point;[-3.6691838, 40.4157413];-3.6691838;40.4157413;POINT (4499059.741548677 -408731.1380408349);4811.432439742541
988;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);202;Avenida de América 2;0;194;Calle Francisco Silvela nº 86;1;0;24;5;17;0;Point;[-3.6772222, 40.43725];-3.6772222;40.43725;POINT (4501454.079080301 -409627.8106793762);4916.884672478086
938;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);152;Plaza de la República Argentina;2;137;Plaza de la República Argentina nº 6;1;0;24;12;11;0;Point;[-3.6853312, 40.445411];-3.6853312;40.445411;POINT (4502362.557444666 -410532.3668441691);4931.31886844687
999;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);213;Estrecho;0;205;Calle Navarra nº 1;1;0;24;5;18;0;Point;[-3.7032777, 40.4535];-3.7032777;40.4535;POINT (4503263.020805692 -412534.3221003983);4934.045000600402
933;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);147;Castellana frente a Hermanos Pinzón;2;150;Paseo de la Castellana nº 122;1;0;24;13;7;0;Point;[-3.6905604, 40.4488924];-3.6905604;40.4488924;POINT (4502750.105119913 -411115.6866801831);4939.438906741039
